Observation,Open,High,Low,Close,Adj Close,Volume
173,3.675,3.74,3.665,3.7,0.739286,1373000
174,3.69,3.725,3.665,3.705,0.740285,570000
175,3.72,3.72,3.68,3.7,0.739286,1236000
176,3.685,3.725,3.67,3.72,0.743282,1502000
177,3.74,3.74,3.69,3.725,0.744281,1163000
178,3.7,3.725,3.675,3.715,0.742283,671000
179,3.695,3.74,3.695,3.725,0.744281,308000
180,3.665,3.74,3.665,3.715,0.742283,641000
181,3.72,3.8,3.7,3.765,0.752274,647000
182,3.725,3.745,3.7,3.72,0.743282,413000
183,3.725,3.75,3.675,3.685,0.736289,264000
184,3.675,3.7,3.635,3.655,0.730295,282000
185,3.64,3.66,3.575,3.64,0.727298,594000
186,3.61,3.66,3.605,3.625,0.7243,605000
187,3.56,3.69,3.56,3.63,0.725299,230000
188,3.61,3.625,3.595,3.615,0.722302,322000
189,3.605,3.65,3.54,3.605,0.720303999999999,905000
190,3.51,3.605,3.51,3.58,0.715309,414000
191,3.58,3.69,3.52,3.63,0.725299,1144000
192,3.685,3.685,3.55,3.555,0.710314,660000
193,3.51,3.625,3.51,3.58,0.715309,807000
194,3.52,3.55,3.35,3.45,0.689334,1285000
195,3.305,3.475,3.305,3.405,0.680343,785000
196,3.57,3.57,3.365,3.455,0.690333,664000
197,3.485,3.525,3.45,3.505,0.700324,397000
198,3.545,3.6,3.48,3.5,0.699325,210000
199,3.5,3.5,3.43,3.445,0.688335,249000
200,3.42,3.585,3.4,3.53,0.705318999999999,603000
201,3.4,3.59,3.4,3.5,0.699325,300000
202,3.475,3.525,3.47,3.515,0.702322,303000
203,3.525,3.585,3.5,3.55,0.709314999999999,1006000
204,3.745,3.795,3.65,3.74,0.747278,859000
205,3.89,4,3.81,3.925,0.784243,1084000
206,3.9,3.94,3.665,3.7,0.739286,821000
207,3.68,3.77,3.665,3.76,0.751274,297000
208,3.76,3.825,3.75,3.805,0.760266,613000
209,3.77,3.87,3.77,3.83,0.765261,778000
210,3.825,3.9,3.685,3.77,0.753273,731000
211,3.75,3.84,3.75,3.815,0.762264,622000
212,3.705,3.85,3.705,3.835,0.76626,694000
213,3.82,3.85,3.775,3.815,0.762264,571000
214,3.795,3.825,3.72,3.815,0.762264,597000
215,3.79,3.825,3.79,3.8,0.759267,389000
216,3.81,3.84,3.8,3.815,0.762264,244000
217,3.87,3.975,3.85,3.96,0.791235999999999,447000
218,3.925,4,3.9,3.93,0.785242,556000
219,3.94,3.955,3.88,3.9,0.779247,358000
220,3.88,3.925,3.865,3.895,0.778247999999999,222000
221,3.9,3.925,3.86,3.88,0.775251,386000
222,3.885,3.9,3.8,3.825,0.764262,532000
223,3.79,3.825,3.775,3.805,0.760266,379000
224,3.85,3.85,3.79,3.805,0.760266,377000
225,3.82,3.82,3.795,3.805,0.760266,340000
226,3.795,3.88,3.605,3.805,0.760266,1061000
227,3.79,3.825,3.775,3.805,0.760266,406000
228,3.8,3.8,3.715,3.78,0.755271,149000
229,3.755,3.815,3.745,3.805,0.760266,313000
230,3.9,3.9,3.78,3.8,0.759267,144000
231,3.8,3.81,3.765,3.8,0.759267,248000
232,3.73,3.815,3.73,3.81,0.761265,580000
233,3.705,3.745,3.685,3.715,0.742283,355000
234,3.7,3.775,3.7,3.74,0.747278,247000
235,3.75,3.79,3.72,3.73,0.74528,155000
236,3.74,3.775,3.705,3.725,0.744281,173000
237,3.705,3.755,3.7,3.735,0.746279,385000
238,3.75,3.8,3.74,3.79,0.757269,381000
239,3.825,3.83,3.73,3.775,0.754271,413000
240,3.73,3.79,3.725,3.75,0.749276,230000
241,3.825,3.84,3.755,3.815,0.762264,526000
242,3.805,3.9,3.785,3.885,0.77625,636000
243,3.95,3.95,3.83,3.85,0.769257,318000
244,3.85,3.895,3.8,3.825,0.764262,246000
245,3.805,3.895,3.805,3.885,0.77625,244000
246,3.9,3.93,3.85,3.92,0.783243999999999,423000
247,3.925,3.995,3.865,3.955,0.790237,596000
248,4,4.18,3.975,4.095,0.81821,574000
249,4.1,4.195,3.9,3.92,0.783243999999999,893000
250,4.14,4.195,4.05,4.195,0.83819,892000
251,4.25,4.295,4.105,4.125,0.824204,996000
252,4.145,4.195,4.1,4.15,0.829199,496000
253,4.2,4.275,4.14,4.155,0.830198,612000
254,4.125,4.235,4.125,4.21,0.841187999999999,964000
255,4.25,4.375,4.25,4.33,0.865163999999999,960000
256,4.3,4.395,4.3,4.36,0.871159,900000
257,4.45,4.665,4.45,4.665,0.9321,1495000
258,4.855,4.855,4.55,4.615,0.922109,1490000
259,4.615,4.695,4.525,4.605,0.920111,1658000
260,4.65,4.93,4.65,4.93,0.985047999999999,3326000
261,5.1,5.275,4.585,4.625,0.924107,3445000
262,4.375,4.825,4.375,4.62,0.923108,2193000
263,4.57,4.6,4.415,4.44,0.887143,1152000
264,4.44,4.44,4.225,4.295,0.858170999999999,2153000
265,4.5,4.57,4.35,4.545,0.908122999999999,1472000
266,4.545,4.56,4.495,4.545,0.908122999999999,915000
267,4.55,4.71,4.55,4.69,0.937095,2722000
268,4.69,4.9,4.65,4.87,0.97306,2600000
269,5.1,5.1,4.67,4.705,0.940092,2714000
270,4.705,4.75,4.61,4.72,0.943089,1441000
271,5,5,4.5,4.605,0.920111,1780000
272,4.515,4.525,4.41,4.465,0.892137999999999,1829000
273,4.43,4.635,4.43,4.56,0.91112,3357000
274,4.74,4.75,4.59,4.6,0.919112,1191000
275,4.6,4.64,4.56,4.62,0.923108,589000
276,4.59,4.635,4.58,4.6,0.919112,649000
277,4.575,4.64,4.575,4.615,0.922109,689000
278,4.6,4.725,4.6,4.665,0.9321,1291000
279,4.7,4.745,4.65,4.73,0.945087,1218000
280,4.7,4.735,4.675,4.685,0.936095999999999,685000
281,4.7,4.715,4.675,4.69,0.937095,697000
282,4.75,4.755,4.68,4.715,0.94209,713000
283,4.69,4.715,4.625,4.645,0.928104,1045000
284,4.665,4.7,4.65,4.695,0.938094,689000
285,4.69,4.69,4.6,4.605,0.920111,739000
286,4.595,4.645,4.4,4.565,0.912119,819000
287,4.515,4.59,4.415,4.46,0.891138999999999,757000
288,4.41,4.49,4.38,4.45,0.889141,930000
289,4.415,4.52,4.415,4.505,0.900130999999999,580000
290,4.51,4.7,4.51,4.68,0.935097,1051000
291,4.9,4.955,4.7,4.845,0.968065,1567000
292,5.225,5.55,5.185,5.305,1.059976,5822000
293,5.31,5.375,5.2,5.31,1.060975,3289000
294,5.5,5.68,5.45,5.5,1.098938,5501000
295,5.4,5.49,5.31,5.46,1.090946,2469000
296,5.36,5.425,5.115,5.165,1.032003,4684000
297,5.15,5.3,5.01,5.065,1.012023,3349000
298,5.29,5.325,5.18,5.275,1.053982,2118000
299,5.29,5.325,5.13,5.175,1.034001,952000
300,5.125,5.2,5.07,5.165,1.032003,1256000
301,5.155,5.19,5.11,5.145,1.028007,996000
302,5.15,5.155,5.015,5.055,1.010025,1791000
303,5.13,5.165,4.94,4.96,0.991043,919000
304,4.91,4.995,4.875,4.94,0.987046999999999,696000
305,4.995,5.03,4.905,4.93,0.985047999999999,632000
306,4.915,4.97,4.825,4.86,0.971062,1130000
307,4.95,5,4.875,4.99,0.997037,727000
308,4.99,5.025,4.92,5,0.999035,605000
309,4.65,4.725,4.5,4.52,0.903128,1259000
310,4.5,4.67,4.35,4.645,0.928104,1370000
311,4.735,4.925,4.735,4.895,0.978054999999999,899000
312,4.91,5.05,4.9,5.035,1.006028,1245000
313,5,5.025,4.95,5,0.999035,1721000
314,4.975,5.1,4.96,5.03,1.00502999999999,1922000
315,5.15,5.25,5.11,5.22,1.042992,1411000
316,5.15,5.165,4.985,5.065,1.012023,1469000
317,5.01,5.225,4.91,5.19,1.03699799999999,2478000
318,5.17,5.215,5.1,5.185,1.036,1485000
319,5.265,5.55,5.265,5.485,1.095942,5272000
320,5.8,5.8,5.605,5.74,1.146892,3718000
321,5.81,5.85,5.675,5.78,1.154885,3368000
322,5.825,5.825,5.7,5.71,1.140898,2521000
323,5.74,5.845,5.68,5.7,1.1389,2240000
324,5.675,5.685,5.625,5.67,1.132906,1157000
325,5.67,5.745,5.6,5.705,1.139899,2217000
326,5.675,5.725,5.665,5.71,1.140898,2392000
327,6.005,6.025,5.755,5.82,1.162877,4123000
328,5.825,5.825,5.7,5.8,1.158881,2363000
329,5.75,5.805,5.73,5.795,1.157881,1971000
330,5.775,5.83,5.75,5.8,1.158881,2583000
331,5.8,5.845,5.76,5.8,1.158881,890000
332,5.805,6.205,5.8,6.205,1.239803,9226000
333,6.395,6.575,6.125,6.225,1.243798,10588000
334,6.2,6.245,5.85,5.915,1.181858,5296000
335,5.9,6.09,5.87,6.02,1.20283799999999,4198000
336,6.15,6.19,5.75,6.04,1.206835,3162000
337,6.025,6.04,5.92,6,1.198842,1704000
338,5.96,6.03,5.935,5.985,1.195845,1196000
339,6,6.025,5.925,5.94,1.186854,957000
340,5.955,6.245,5.825,6.02,1.20283799999999,5456000
341,6.19,6.19,5.875,5.9,1.178862,4213000
342,5.875,5.92,5.75,5.77,1.152887,2519000
343,5.795,5.795,5.71,5.75,1.14889,1623000
344,5.715,5.79,5.7,5.71,1.140898,1162000
345,5.69,5.73,5.5,5.53,1.104933,2458000
346,5.6,5.6,5.39,5.47,1.092944,1732000
347,5.435,5.6,5.405,5.59,1.11692099999999,2128000
348,5.595,5.695,5.54,5.66,1.130908,1537000
349,5.7,6.02,5.7,5.93,1.184856,3272000
350,5.93,6.24,5.86,6.115,1.22182,4629000
351,6.5,6.52,6.25,6.39,1.276767,19944000
352,6.4,6.405,6.315,6.335,1.265778,5280000
353,6.3,6.36,6.27,6.335,1.265778,4451000
354,6.38,6.38,6.285,6.3,1.44072199999999,2834000
355,6.315,6.36,6.29,6.345,1.45101299999999,2240000
356,6.35,6.42,6.33,6.385,1.46016,4600000
357,6.385,6.43,6.365,6.415,1.46702199999999,4106000
358,6.43,6.585,6.38,6.485,1.483029,12038000
359,6.45,6.515,6.36,6.405,1.464734,3420000
